id,plan_id,city_id,area_id,group_id,tdate,span_id,station_id,station_center_point,block_id,target_bike_cnt,bike_num,predict_in,dispatch_num,efficiency,profit_order,in_bike_cnt,explore_target_bike_cnt,max_capacity,min_capacity,status,create_time,update_time
7469037,18418,360,1,216,20220902,20,157883,118.10617665099|36.960195454371,8b30a4a9a4a3fff,1,1,1,0,0,0.991983,1,5,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469038,18418,360,1,216,20220902,20,157880,118.09880156275|36.967652975574,8b30a406d364fff,3,2,1,0,0,1.28108,0,5,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469039,18418,360,1,216,20220902,20,157881,118.10265529339|36.963587294119,8b30a406d24efff,6,4,1,0,0,1.53739,8,6,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469040,18418,360,1,216,20220902,20,151233,118.10566910837|36.970500263918,8b30a4a9ad4efff,1,1,1,0,0,0.51352,1,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469041,18418,360,1,216,20220902,20,150726,118.09252240723|36.95448557332,8b30a4068a49fff,1,0,0,0,0,0.6636,0,2,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469042,18418,360,1,216,20220902,20,55495,118.09885546108|36.966903291917,8b30a406d362fff,0,0,0,0,0,0,0,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469043,18418,360,1,216,20220902,20,151237,118.10566461684|36.967732268602,8b30a4a9ac0bfff,2,0,0,0,0,0.790395,0,5,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469044,18418,360,1,216,20220902,20,55496,118.09289520402|36.971981527393,8b30a406dbadfff,0,0,0,0,0,0,0,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469045,18418,360,1,216,20220902,20,552641,118.12309245130419|36.96174531324615,8b30a4a9a2f1fff,0,0,0,0,0,0,0,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469046,18418,360,1,216,20220902,20,55498,118.10923088972|36.965111950343,8b30a4a9a193fff,1,2,1,0,0,0.862989,3,5,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469047,18418,360,1,216,20220902,20,55499,118.10888953363|36.965317398103,8b30a4a9a193fff,2,2,3,0,0,0.850061,3,5,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469048,18418,360,1,216,20220902,20,178387,118.0988105458|36.963558458717,8b30a406d203fff,1,0,0,0,0,1.14704,0,5,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469049,18418,360,1,216,20220902,20,151254,118.10738936342|36.965184037345,8b30a4a9acd9fff,2,0,1,0,0,0.884475,0,5,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469050,18418,360,1,216,20220902,20,89303,118.09261223778|36.951324045606,8b30a406836cfff,0,0,0,0,0,0,0,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469051,18418,360,1,216,20220902,20,153300,118.11973208113|36.966780746764,8b30a4a9a32efff,1,3,0,0,0,0.521866,1,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469052,18418,360,1,216,20220902,20,55519,118.1057544474|36.957034164902,8b30a4069841fff,2,0,2,0,0,1.25052,0,5,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469053,18418,360,1,216,20220902,20,55521,118.10257444589|36.971426510525,8b30a4a9ad28fff,6,8,3,0,0,0.845206,5,6,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469054,18418,360,1,216,20220902,20,55522,118.10605088821|36.970954378454,8b30a4a9ad4cfff,2,4,0,0,0,0.849825,1,3,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469055,18418,360,1,216,20220902,20,135392,118.10273614088|36.966319398525,8b30a4a9ac80fff,2,1,0,0,0,1.03984,0,5,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469056,18418,360,1,216,20220902,20,698606,118.08029499999994|36.95332093573478,8b30a406812efff,0,0,0,0,0,0.542269,0,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469057,18418,360,1,216,20220902,20,148203,118.10376020916|36.954856872891,8b30a40698c6fff,5,20,5,0,0,1.04962,9,6,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469058,18418,360,1,216,20220902,20,161518,118.11451741765|36.969202778755,8b30a4a9a168fff,1,0,1,0,0,0.293259,0,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469059,18418,360,1,216,20220902,20,161519,118.11459377361|36.969779441581,8b30a4a9ab93fff,0,0,0,0,0,0.624676,0,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469060,18418,360,1,216,20220902,20,161516,118.11353826464|36.967379053563,8b30a4a9a153fff,2,0,1,0,0,0.637201,0,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469061,18418,360,1,216,20220902,20,161517,118.11388411226|36.968085481989,8b30a4a9a142fff,1,0,0,0,0,0.45917,0,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469062,18418,360,1,216,20220902,20,161522,118.11794445317|36.970896713268,8b30a4a9aa04fff,0,0,0,0,0,0,0,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469063,18418,360,1,216,20220902,20,159986,118.07587680613|36.965155202552,8b30a406c352fff,0,0,0,0,0,0.461002,0,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469064,18418,360,1,216,20220902,20,161520,118.11649818129|36.970911129569,8b30a4a9aa36fff,4,6,4,0,0,0.581625,7,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469065,18418,360,1,216,20220902,20,161527,118.11490818054|36.970356100001,8b30a4a9ab82fff,2,7,3,0,0,0.590101,6,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469066,18418,360,1,216,20220902,20,162552,118.10145605553|36.947459375858,8b30a406955dfff,0,0,0,0,0,0,0,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469067,18418,360,1,216,20220902,20,162553,118.10293376809|36.947178170154,8b30a4069092fff,6,11,4,0,0,0.869704,2,6,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469068,18418,360,1,216,20220902,20,143615,118.08370553865|36.941802588263,8b30a40686a2fff,0,0,0,0,0,0,0,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469069,18418,360,1,216,20220902,20,146684,118.08940079559|36.977189166769,8b30a4a9e58efff,11,0,2,0,0,1.28195,0,13,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469070,18418,360,1,216,20220902,20,143618,118.08826443912|36.941413222503,8b30a40686eafff,0,0,0,0,0,0.0598911,0,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469071,18418,360,1,216,20220902,20,143622,118.09718461283|36.944849169849,8b30a4069599fff,1,1,0,0,0,0.470025,0,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469072,18418,360,1,216,20220902,20,91908,118.10456868412|36.951406960807,8b30a4069020fff,3,2,2,0,0,1.26779,1,5,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469073,18418,360,1,216,20220902,20,55566,118.09436393353|36.977012581601,8b30a4a9e450fff,6,0,2,0,0,1.49787,0,6,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469074,18418,360,1,216,20220902,20,143628,118.09254486487|36.954074618253,8b30a4069da5fff,1,1,0,0,0,0.161935,0,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469075,18418,360,1,216,20220902,20,55567,118.09284130569|36.9562014668,8b30a406d699fff,1,2,2,0,0,0.442079,1,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469076,18418,360,1,216,20220902,20,55569,118.0831261316|36.957391033929,8b30a406886bfff,12,2,3,0,0,1.91049,2,12,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7469077,18418,360,1,216,20220902,20,186640,118.08952206683|36.964931732538,8b30a406d0adfff,0,0,0,0,0,0,0,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
