,city_id,bike_sn,is_useable,is_used,cnt3,cnt7,cnt14,cnt21,cnt30,label
0,161,815731925,1,1,17,45,69,90,114,67.0
1,161,815733102,1,1,15,34,65,83,117,62.80000000000001
2,161,815954020,1,1,16,29,63,95,119,64.4
3,161,816216920,1,1,19,19,46,68,92,48.800000000000004
4,161,816221560,1,1,17,36,55,99,118,65.0
5,161,816223142,1,1,14,21,42,70,97,48.8
6,161,816232662,1,0,4,20,44,62,104,46.8
7,161,816233959,1,1,5,22,56,86,121,58.0
8,161,815932221,1,1,8,21,51,78,130,57.6
9,161,816218474,1,1,23,33,62,93,134,69.0
10,161,816221907,1,0,0,0,20,53,89,32.400000000000006
11,161,816228075,1,1,5,17,43,67,96,45.6
12,161,816228097,1,1,13,38,53,53,70,45.400000000000006
13,161,816232592,1,1,12,30,59,84,106,58.2
14,161,815733114,1,1,2,10,36,72,119,47.8
15,161,815923522,1,1,5,22,60,84,124,59.0
16,161,815953905,1,1,11,19,45,72,116,52.6
17,161,816233600,1,1,17,21,27,39,79,36.6
18,161,816234212,1,0,17,25,36,60,85,44.6
19,161,815933241,1,1,12,30,52,73,96,52.60000000000001
20,161,815944229,1,1,10,21,40,76,99,49.2
21,161,816234022,1,0,15,43,58,80,120,63.2
22,161,815732474,1,1,2,25,58,79,102,53.2
23,161,815732992,1,1,16,31,52,69,102,54.0
24,161,816230440,1,1,12,36,72,86,113,63.800000000000004
25,161,816237070,1,1,6,19,38,69,104,47.2
26,161,815733115,1,1,13,36,63,90,124,65.2
27,161,816231442,1,1,14,43,95,122,162,87.19999999999999
28,161,817130066,1,0,7,7,14,58,104,38.0
29,161,815726454,1,1,10,13,39,59,93,42.800000000000004
30,161,815733122,1,1,6,23,48,67,104,49.60000000000001
31,161,816228070,1,1,12,23,42,59,78,42.800000000000004
32,161,816231622,1,1,13,32,67,90,132,66.8
33,161,816231755,1,1,8,33,78,103,126,69.60000000000001
34,161,816233955,1,1,11,17,59,92,145,64.80000000000001
35,161,817118461,1,0,12,38,59,79,105,58.6
36,161,817130094,1,0,3,6,6,29,60,20.8
37,161,817131149,1,1,10,21,54,70,126,56.2
38,161,815725751,1,0,0,0,0,0,0,0.0
39,161,815931625,1,1,10,30,59,88,129,63.2
40,161,815939249,1,1,17,39,53,77,113,59.800000000000004
41,161,816220527,1,1,15,33,77,100,139,72.8
42,161,816235077,1,0,8,26,40,60,101,47.0
43,161,817131155,1,1,21,36,57,86,124,64.8
44,161,816221969,1,1,21,39,74,85,110,65.8
45,161,816229264,1,1,10,27,62,80,114,58.599999999999994
46,161,816230267,1,1,8,18,57,74,96,50.60000000000001
47,161,816232426,1,0,17,24,45,87,96,53.80000000000001
48,161,817119754,1,1,12,30,47,78,114,56.2
49,161,816221577,1,0,18,35,52,83,132,64.0
50,161,816231217,1,0,0,0,0,1,30,6.2
51,161,816233474,1,1,0,0,23,28,53,20.800000000000004
52,161,817120655,1,1,11,14,35,59,106,45.0
53,161,815933410,1,1,4,9,30,42,63,29.6
54,161,816216504,1,1,11,27,60,79,98,55.00000000000001
55,161,816217405,1,1,9,24,51,70,99,50.6
56,161,816221641,1,1,16,22,66,111,141,71.2
57,161,816231799,1,1,19,42,67,89,127,68.80000000000001
58,161,816233661,1,0,6,20,46,71,94,47.400000000000006
59,161,816234117,1,1,11,27,43,56,84,44.2
60,161,816234216,1,1,7,24,53,77,105,53.2
61,161,816234265,1,1,7,23,49,69,89,47.400000000000006
62,161,816236924,1,1,4,20,47,66,79,43.2
63,161,817128004,1,1,21,41,63,86,106,63.400000000000006
64,161,817129460,1,1,9,20,37,50,68,36.8
65,161,816230444,1,0,14,33,53,78,116,58.800000000000004
66,161,816234459,1,0,19,28,35,50,85,43.4
67,161,816235052,1,1,10,29,70,100,138,69.4
68,161,817119294,1,1,16,38,66,85,116,64.2
69,161,817129725,1,1,16,34,50,81,114,59.0
70,161,815931502,1,1,9,39,65,96,110,63.800000000000004
71,161,815954161,1,1,19,35,84,106,141,77.0
72,161,816223155,1,0,8,22,38,64,106,47.60000000000001
73,161,816228912,1,1,9,25,51,84,121,58.0
74,161,816231751,1,0,0,0,25,57,92,34.8
75,161,816231922,1,1,10,30,60,77,88,53.0
76,161,816234167,1,1,11,17,37,55,84,40.8
77,161,817119154,1,1,9,30,60,90,117,61.2
78,161,817119417,1,1,16,36,68,90,108,63.6
79,161,817131492,1,1,10,21,41,56,72,40.0
80,161,815957092,1,1,15,28,78,114,138,74.6
81,161,815957106,1,1,20,37,64,87,121,65.80000000000001
82,161,816222276,1,1,5,18,29,36,66,30.800000000000004
83,161,816233275,1,0,14,31,44,72,104,53.0
84,161,816235091,1,1,2,7,27,42,74,30.400000000000002
85,161,817130450,1,1,8,32,51,65,106,52.400000000000006
86,161,815960007,1,1,22,35,72,98,117,68.80000000000001
87,161,816232544,1,1,15,28,67,105,127,68.4
88,161,817131194,1,1,18,35,62,88,107,62.0
89,161,815725266,1,1,32,47,74,115,165,86.6
90,161,816230477,1,1,15,40,71,101,149,75.2
91,161,817129629,1,1,3,16,54,83,94,50.0
92,161,816222007,1,1,14,34,61,84,109,60.400000000000006
93,161,816233612,1,1,15,32,61,74,99,56.2
94,161,816233640,1,1,14,30,65,101,144,70.8
95,161,816234560,1,1,13,33,77,117,163,80.6
96,161,815725294,1,1,5,29,46,70,97,49.400000000000006
97,161,816219276,1,1,3,7,26,38,66,28.0
98,161,816219420,1,1,13,31,76,110,123,70.6
99,161,815717164,1,1,8,32,68,89,123,64.0
100,161,815726611,1,1,20,39,81,92,96,65.60000000000001
101,161,815933064,1,1,15,29,64,94,150,70.4
102,161,815933177,1,0,11,31,40,41,74,39.400000000000006
103,161,816232529,1,1,9,12,39,51,86,39.400000000000006
104,161,816234141,1,0,10,15,30,36,45,27.2
105,161,817131554,1,1,21,37,69,90,108,65.0
106,161,815950707,1,1,19,27,41,62,92,48.2
107,161,816211975,1,1,15,26,63,77,107,57.60000000000001
108,161,816221576,1,1,10,12,39,62,92,43.0
109,161,816223179,1,0,0,0,0,3,11,2.8000000000000003
110,161,816228644,1,1,20,38,59,89,123,65.80000000000001
111,161,816230074,1,1,13,21,37,60,87,43.60000000000001
112,161,816230501,1,0,12,30,37,65,100,48.8
113,161,816231412,1,1,4,24,48,69,82,45.400000000000006
114,161,816231560,1,1,15,17,52,72,98,50.800000000000004
115,161,816233665,1,0,15,25,46,70,96,50.400000000000006
116,161,815938700,1,0,22,45,62,80,104,62.599999999999994
117,161,815950901,1,1,9,31,50,75,107,54.400000000000006
118,161,816221966,1,1,16,31,78,105,155,77.0
119,161,816231940,1,1,11,41,60,88,132,66.4
120,161,816232040,1,1,19,35,63,102,121,68.0
121,161,816232676,1,1,21,40,62,90,121,66.80000000000001
122,161,816233744,1,1,10,34,62,87,118,62.20000000000001
123,161,817129109,1,1,0,0,28,41,57,25.200000000000003
124,161,815725021,1,1,17,29,58,94,146,68.80000000000001
125,161,815936601,1,1,6,17,43,53,93,42.400000000000006
126,161,816233647,1,1,14,22,44,63,106,49.800000000000004
127,161,816234092,1,0,5,19,41,69,98,46.400000000000006
128,161,817129000,1,1,13,24,65,113,153,73.6
129,161,815731904,1,1,10,25,59,86,137,63.400000000000006
130,161,815732444,1,0,6,27,56,88,115,58.400000000000006
131,161,815932066,1,1,2,20,54,88,117,56.2
132,161,815933229,1,1,0,17,41,63,96,43.400000000000006
133,161,815938620,1,0,0,0,0,0,0,0.0
134,161,815938774,1,1,8,20,38,67,103,47.2
135,161,816221601,1,1,8,26,63,75,123,59.00000000000001
136,161,816221952,1,1,10,40,61,83,113,61.400000000000006
137,161,816228007,1,1,8,30,67,76,119,60.0
138,161,816231577,1,1,5,15,45,70,89,44.8
139,161,816233625,1,1,19,46,71,94,125,71.0
140,161,816233795,1,1,20,45,74,120,150,81.8
141,161,817119150,1,1,4,21,59,62,93,47.800000000000004
142,161,815932547,1,1,15,39,87,123,162,85.2
143,161,816219429,1,1,11,31,56,76,122,59.2
144,161,816221902,1,1,18,44,75,105,139,76.2
145,161,816222951,1,1,28,35,59,94,114,66.0
