,city_id,block_id,opportunity_cost
69,360,8b30a4a9ada1fff,"{'9': 1.7008822883168855, '10': 0.0, '11': 0.0}"
70,360,8b30a4a9ada4fff,"{'9': 1.7008822883168855, '10': 0.0, '11': 0.0}"
71,360,8b30a4a9ada5fff,"{'9': 1.7008822883168855, '10': 0.0, '11': 0.0}"
72,360,8b30a4a9ada6fff,"{'9': 1.7008822883168855, '10': 0.0, '11': 0.0}"
73,360,8b30a4a9e301fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
74,360,8b30a4061080fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
75,360,8b30a4061082fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
76,360,8b30a4061086fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
77,360,8b30a4061081fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
78,360,8b30a4061083fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
79,360,8b30a4061085fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
80,360,8b30a4061084fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
81,360,8b30a406880efff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
82,360,8b30a406880cfff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
83,360,8b30a406880bfff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
84,360,8b30a406880afff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
85,360,8b30a4068809fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
86,360,8b30a406880dfff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
87,360,8b30a4068808fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
88,360,8b30a40614e2fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
89,360,8b30a40614e1fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
90,360,8b30a40614e4fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
91,360,8b30a40614e5fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
92,360,8b30a40614e0fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
93,360,8b30a40614e6fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
94,360,8b30a406a88dfff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
95,360,8b30a406a88bfff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
96,360,8b30a406a889fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
97,360,8b30a406a888fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
98,360,8b30a406a88cfff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
99,360,8b30a406a88efff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
100,360,8b30a406a88afff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
101,360,8b30a406b91dfff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
102,360,8b30a406b91afff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
103,360,8b30a406b91bfff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
104,360,8b30a406b919fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
105,360,8b30a406b91cfff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
106,360,8b30a406b918fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
107,360,8b30a406b91efff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
108,360,8b30a406dad1fff,"{'9': 1.2860726714134216, '10': 0.0, '11': 0.0}"
109,360,8b30a406dad0fff,"{'9': 1.2860726714134216, '10': 0.0, '11': 0.0}"
110,360,8b30a406dad6fff,"{'9': 1.2860726714134216, '10': 0.0, '11': 0.0}"
111,360,8b30a406dad4fff,"{'9': 1.2860726714134216, '10': 0.0, '11': 0.0}"
112,360,8b30a406dad5fff,"{'9': 1.2860726714134216, '10': 0.0, '11': 0.0}"
113,360,8b30a406dad3fff,"{'9': 1.2860726714134216, '10': 0.0, '11': 0.0}"
114,360,8b30a406dad2fff,"{'9': 1.2860726714134216, '10': 0.0, '11': 0.0}"
115,360,8b30a4a93683fff,"{'9': 2.403940500319004, '10': 0.0, '11': 0.0}"
116,360,8b30a4a93682fff,"{'9': 2.403940500319004, '10': 0.0, '11': 0.0}"
117,360,8b30a4a93681fff,"{'9': 2.403940500319004, '10': 0.0, '11': 0.0}"
118,360,8b30a4a93686fff,"{'9': 2.403940500319004, '10': 0.0, '11': 0.0}"
119,360,8b30a4a93685fff,"{'9': 2.403940500319004, '10': 0.0, '11': 0.0}"
120,360,8b30a4a93680fff,"{'9': 2.403940500319004, '10': 0.0, '11': 0.0}"
121,360,8b30a4a93684fff,"{'9': 2.403940500319004, '10': 0.0, '11': 0.0}"
